"table","column","description"
"167","Teams","park","Name of teams home ballpark
168	Teams	attendance	Home attendance total
169	Teams	BPF	Three-year park factor for batters
170	Teams	PPF	Three-year park factor for pitchers
171	Teams	teamIDBR	Team ID used by Baseball Reference website
172	Teams	teamIDlahman45	Team ID used in Lahman database version 4.5
173	Teams	teamIDretro	Team ID used by Retrosheet
174	BattingPost	yearID	Year
175	BattingPost	round	Level of playoffs
176	BattingPost	playerID	Player ID code
177	BattingPost	teamID	Team
178	BattingPost	lgID	League
179	BattingPost	G	Games
180	BattingPost	AB	At Bats
181	BattingPost	R	Runs
182	BattingPost	H	Hits
183	BattingPost	2B	Doubles
184	BattingPost	3B	Triples
185	BattingPost	HR	Homeruns
186	BattingPost	RBI	Runs Batted In
187	BattingPost	SB	Stolen Bases
188	BattingPost	CS	Caught stealing
189	BattingPost	BB	Base on Balls
190	BattingPost	SO	Strikeouts
191	BattingPost	IBB	Intentional walks
192	BattingPost	HBP	Hit by pitch
193	BattingPost	SH	Sacrifices
194	BattingPost	SF	Sacrifice flies
195	BattingPost	GIDP	Grounded into double plays
196	PitchingPost	playerID	Player ID code
197	PitchingPost	yearID	Year
198	PitchingPost	round	Level of playoffs
199	PitchingPost	teamID	Team
200	PitchingPost	lgID	League
201	PitchingPost	W	Wins
202	PitchingPost	L	Losses
203	PitchingPost	G	Games
204	PitchingPost	GS	Games Started
205	PitchingPost	CG	Complete Games
206	PitchingPost	SHO	Shutouts
207	PitchingPost	SV	Saves
208	PitchingPost	IPOuts	Outs Pitched (innings pitched x 3)
209	PitchingPost	H	Hits
210	PitchingPost	ER	Earned Runs
211	PitchingPost	HR	Homeruns
212	PitchingPost	BB	Walks
213	PitchingPost	SO	Strikeouts
214	PitchingPost	BAOpp	Opponents batting average"
"215","PitchingPost","ERA","Earned Run Average"
"216","PitchingPost","IBB","Intentional Walks"
"217","PitchingPost","WP","Wild Pitches"
"218","PitchingPost","HBP","Batters Hit By Pitch"
"219","PitchingPost","BK","Balks"
"220","PitchingPost","BFP","Batters faced by Pitcher"
"221","PitchingPost","GF","Games Finished"
"222","PitchingPost","R","Runs Allowed"
"223","PitchingPost","SH","Sacrifice Hits allowed"
"224","PitchingPost","SF","Sacrifice Flies allowed"
"225","PitchingPost","GIDP","Grounded into Double Plays"
"226","TeamsFranchises","franchID","Franchise ID"
"227","TeamsFranchises","franchName","Franchise name"
"228","TeamsFranchises","active","Whetehr team is currently active (Y or N)"
"229","TeamsFranchises","NAassoc","ID of National Association team franchise played as"
"230","FieldingOF","playerID","Player ID code"
"231","FieldingOF","yearID","Year"
"232","FieldingOF","stint","players stint (order of appearances within a season)
233	FieldingOF	Glf	Games played in left field
234	FieldingOF	Gcf	Games played in center field
235	FieldingOF	Grf	Games played in right field
236	ManagersHalf	playerID	Manager ID code
237	ManagersHalf	yearID	Year
238	ManagersHalf	teamID	Team
239	ManagersHalf	lgID	League
240	ManagersHalf	inseason	Managerial order. One if the individual managed the team
241	ManagersHalf	the	entire year.
242	ManagersHalf	in	the managerial
243	ManagersHalf	half	First or second half of season
244	ManagersHalf	G	Games managed
245	ManagersHalf	W	Wins
246	ManagersHalf	L	Losses
247	ManagersHalf	rank	Teams position in standings for the half"
"248","TeamsHalf","yearID","Year"
"249","TeamsHalf","lgID","League"
"250","TeamsHalf","teamID","Team"
"251","TeamsHalf","half","First or second half of season"
"252","TeamsHalf","divID","Division"
"253","TeamsHalf","DivWin","Won Division (Y or N)"
"254","TeamsHalf","rank","Teams position in standings for the half
255	TeamsHalf	G	Games played
256	TeamsHalf	W	Wins
257	TeamsHalf	L	Losses
258	Salaries	yearID	Year
259	Salaries	teamID	Team
260	Salaries	lgID	League
261	Salaries	playerID	Player ID code
262	Salaries	salary	Salary
263	SeriesPost	yearID	Year
264	SeriesPost	round	Level of playoffs
265	SeriesPost	teamIDwinner	Team ID of the team that won the series
266	SeriesPost	lgIDwinner	League ID of the team that won the series
267	SeriesPost	teamIDloser	Team ID of the team that lost the series
268	SeriesPost	lgIDloser	League ID of the team that lost the series
269	SeriesPost	wins	Wins by team that won the series
270	SeriesPost	losses	Losses by team that won the series
271	SeriesPost	ties	Tie games
272	AwardsManagers	playerID	Manager ID code
273	AwardsManagers	awardID	Name of award won
274	AwardsManagers	yearID	Year
275	AwardsManagers	lgID	League
276	AwardsManagers	tie	Award was a tie (Y or N)
277	AwardsManagers	notes	Notes about the award
278	AwardsPlayers	playerID	Player ID code
279	AwardsPlayers	awardID	Name of award won
280	AwardsPlayers	yearID	Year
281	AwardsPlayers	lgID	League
282	AwardsPlayers	tie	Award was a tie (Y or N)
283	AwardsPlayers	notes	Notes about the award
284	AwardsShareManagers	awardID	name of award votes were received for
285	AwardsShareManagers	yearID	Year
286	AwardsShareManagers	lgID	League
287	AwardsShareManagers	playerID	Manager ID code
288	AwardsShareManagers	pointsWon	Number of points received
289	AwardsShareManagers	pointsMax	Maximum numner of points possible
290	AwardsShareManagers	votesFirst	Number of first place votes
291	AwardsSharePlayers	awardID	name of award votes were received for
292	AwardsSharePlayers	yearID	Year
293	AwardsSharePlayers	lgID	League
294	AwardsSharePlayers	playerID	Player ID code
295	AwardsSharePlayers	pointsWon	Number of points received
296	AwardsSharePlayers	pointsMax	Maximum numner of points possible
297	AwardsSharePlayers	votesFirst	Number of first place votes
298	FieldingPost	playerID	Player ID code
299	FieldingPost	yearID	Year
300	FieldingPost	teamID	Team
301	FieldingPost	lgID	League
302	FieldingPost	round	Level of playoffs
303	FieldingPost	Pos	Position
304	FieldingPost	G	Games
305	FieldingPost	GS	Games Started
306	FieldingPost	InnOuts	Time played in the field expressed as outs
307	FieldingPost	PO	Putouts
308	FieldingPost	A	Assists
309	FieldingPost	E	Errors
310	FieldingPost	DP	Double Plays
311	FieldingPost	TP	Triple Plays
312	FieldingPost	PB	Passed Balls
313	FieldingPost	SB	Stolen Bases allowed (by catcher)
314	FieldingPost	CS	Caught Stealing (by catcher)
315	Appearances	yearID	Year
316	Appearances	teamID	Team
317	Appearances	lgID	League
318	Appearances	playerID	Player ID code
319	Appearances	G_all	Total games played
320	Appearances	GS	Games started
321	Appearances	G_batting	Games in which player batted
322	Appearances	G_defense	Games in which player appeared on defense
323	Appearances	G_p	Games as pitcher
324	Appearances	G_c	Games as catcher
325	Appearances	G_1b	Games as firstbaseman
326	Appearances	G_2b	Games as secondbaseman
327	Appearances	G_3b	Games as thirdbaseman
328	Appearances	G_ss	Games as shortstop
329	Appearances	G_lf	Games as leftfielder
330	Appearances	G_cf	Games as centerfielder
331	Appearances	G_rf	Games as right fielder
332	Appearances	G_of	Games as outfielder
333	Appearances	G_dh	Games as designated hitter
334	Appearances	G_ph	Games as pinch hitter
335	Appearances	G_pr	Games as pinch runner
336	Schools	schoolID	school ID code
337	Schools	schoolName	school name
338	Schools	schoolCity	city where school is located
339	Schools	schoolState	state where schools city is located"
"340","Schools","schoolNick","nickname for schools baseball team
341	CollegePlaying	playerid	Player ID code
342	CollegePlaying	schoolID	school ID code
343	CollegePlaying	year	year
344	FieldingOFsplit	playerID	Player ID code
345	FieldingOFsplit	yearID	Year
346	FieldingOFsplit	stint	players stint (order of appearances within a season)"
"347","FieldingOFsplit","teamID","Team"
"348","FieldingOFsplit","lgID","League"
"349","FieldingOFsplit","Pos","Position"
"350","FieldingOFsplit","G","Games"
"351","FieldingOFsplit","GS","Games Started"
"352","FieldingOFsplit","InnOuts","Time played in the field expressed as outs"
"353","FieldingOFsplit","PO","Putouts"
"354","FieldingOFsplit","A","Assists"
"355","FieldingOFsplit","E","Errors"
"356","FieldingOFsplit","DP","Double Plays"
"357","Parks","park.key","ballpark ID code"
"358","Parks","park.name","name of ballpark"
"359","Parks","park.alias","alternate names of ballpark"
"360","Parks","city","city"
"361","Parks","state","state"
"362","Parks","country","country"
"363","HomeGames","year.key","year"
"364","HomeGames","league.key","league"
"365","HomeGames","team.key","team ID"
"366","HomeGames","park.key","ballpark ID"
"367","HomeGames","span.first","date of first game played"
"368","HomeGames","span.last","date of last game played"
"369","HomeGames","games","total number of games"
"370","HomeGames","openings","total number of dates played"
"371","HomeGames","attendance","total attendaance"
